Patologia,Precision,Recall,F1_Score
Enlarged Cardiomediastinum,0.690677966101695,0.6221374045801527,0.6546184738955824
Cardiomegaly,0.6692307692307692,0.6823529411764706,0.6757281553398058
Lung Opacity,0.8107142857142857,0.7183544303797469,0.761744966442953
Lung Lesion,0.3125,0.21739130434782608,0.2564102564102564
Edema,0.33663366336633666,0.3008849557522124,0.3177570093457944
Consolidation,0.7232472324723247,0.7340823970037453,0.7286245353159851
Pneumonia,0.2988505747126437,0.21311475409836064,0.24880382775119617
Atelectasis,0.7058823529411765,0.7245283018867924,0.7150837988826816
Pneumothorax,0.42748091603053434,0.33136094674556216,0.37333333333333335
Pleural Effusion,0.6194690265486725,0.5833333333333334,0.6008583690987125
Pleural Other,0.725925925925926,0.7127272727272728,0.7192660550458716
Fracture,0.3813559322033898,0.3488372093023256,0.3643724696356275
Support Devices,0.6652173913043479,0.612,0.6375
No Finding,0.14814814814814814,0.1509433962264151,0.14953271028037382
GLOBAL_MICRO,,,0.6003304571323664
GLOBAL_MACRO,,,0.5145452829127267
