Metrica,Valor
Macro-VDI Media Poblacional,0.8145070653796291
Desviación Máxima Plasticidad (Max VDI),0.9736842105263158
Umbral Mínimo Inercia (Min VDI),0.28
VDI Caso Control Individual,0.9041095890410958
Magnitud de Señal (Norma L2 Media),40.178627014160156
Max-Pooling Similitud Bruta,0.9863418340682983
Max-Pooling Similitud Centrada,-0.000603515887632966
Mean-Pooling Similitud Bruta,0.9937912225723267
Mean-Pooling Similitud Centrada,0.0029374330770224333
Veredicto Arquitectura (Aprobado=1),1.0
